Order,Variable,Description,Category,Variable Type,Consumption Type,Root Formula,Type,Size,Part
1317,Q0100206K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Metro - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1318,Q0100207K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Provigo - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1319,Q0100207K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Provigo - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1320,Q0100207K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Provigo - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1321,Q0100208K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Real Canadian/Atlantic Superstore - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1322,Q0100208K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Real Canadian/Atlantic Superstore - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1323,Q0100208K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Real Canadian/Atlantic Superstore - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1324,Q0100209K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Safeway - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1325,Q0100209K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Safeway - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1326,Q0100209K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Safeway - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1327,Q0100210K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Save-On-Foods - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1328,Q0100210K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Save-On-Foods - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1329,Q0100210K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Save-On-Foods - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1330,Q0100211K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Sobeys - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1331,Q0100211K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Sobeys - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1332,Q0100211K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Sobeys - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1333,Q0100212K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Discount grocery stores - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1334,Q0100212K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Discount grocery stores - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1335,Q0100212K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Discount grocery stores - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1336,Q0100213K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Fine food stores/butcher shops - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1337,Q0100213K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Fine food stores/butcher shops - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1338,Q0100213K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Fine food stores/butcher shops - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1339,Q0100214K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Big box/warehouse stores - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1340,Q0100214K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Big box/warehouse stores - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1341,Q0100214K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Big box/warehouse stores - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1342,Q0100219K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Walmart/Walmart Supercentres - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1343,Q0100219K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Walmart/Walmart Supercentres - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1344,Q0100219K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Walmart/Walmart Supercentres - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1345,Q0100220K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Other department stores - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1346,Q0100220K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Other department stores - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1347,Q0100220K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Other department stores - Once a week or more (!),Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1348,Q0100216K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Drug stores (any) - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1349,Q0100216K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Drug stores (any) - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1350,Q0100216K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Drug stores (any) - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1351,Q0100218K1,Frequency of Shopping [Pst Mth] - Grocery Stores - Other grocery stores - Once a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1352,Q0100218K2,Frequency of Shopping [Pst Mth] - Grocery Stores - Other grocery stores - 2-3 times a month,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1353,Q0100218K3,Frequency of Shopping [Pst Mth] - Grocery Stores - Other grocery stores - Once a week or more,Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1354,Q2920501C1,Bought Anything [Pst Wk] - Grocery/food stores - Morning (5:01am to 10am),Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1355,Q2920502C1,Bought Anything [Pst Wk] - Grocery/food stores - Mid-day (10:01am to 3pm),Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1356,Q2920503C1,Bought Anything [Pst Wk] - Grocery/food stores - Afternoon (3:01pm to 6pm),Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1357,Q2920504C1,Bought Anything [Pst Wk] - Grocery/food stores - Early evening (6:01pm to 9pm),Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1358,Q2920505C1,Bought Anything [Pst Wk] - Grocery/food stores - Late evening/night (9:01pm to 5am),Retailers - Grocery,Incidence,,[NBAS12HP],Double,8,5
1359,Q1000201K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - BMR - Once a year (!),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1360,Q1000201K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - BMR - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1361,Q1000201K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - BMR - Once a month or more (^),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1362,Q1000202K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Canadian Tire - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1363,Q1000202K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Canadian Tire - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1364,Q1000202K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Canadian Tire - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1365,Q1000203K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Crate & Barrel - Once a year (!),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1366,Q1000203K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Crate & Barrel - 2-11 times a year (!),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1367,Q1000203K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Crate & Barrel - Once a month or more (^),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1368,Q1000204K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Home Depot - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1369,Q1000204K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Home Depot - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1370,Q1000204K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Home Depot - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1371,Q1000205K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Home Hardware - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1372,Q1000205K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Home Hardware - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1373,Q1000205K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Home Hardware - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1374,Q1000207K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - HomeSense - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1375,Q1000207K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - HomeSense - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1376,Q1000207K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - HomeSense - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1377,Q1000208K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lee Valley Tools - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1378,Q1000208K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lee Valley Tools - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1379,Q1000208K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lee Valley Tools - Once a month or more (^),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1380,Q1000209K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lowe's Home Improvement - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1381,Q1000209K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lowe's Home Improvement - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1382,Q1000209K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lowe's Home Improvement - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1383,Q1000211K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Rona Stores (any) - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1384,Q1000211K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Rona Stores (any) - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1385,Q1000211K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Rona Stores (any) - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1386,Q1000218K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Wayfair.ca - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1387,Q1000218K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Wayfair.ca - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1388,Q1000218K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Wayfair.ca - Once a month or more (^),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1389,Q1000212K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lighting stores (any) - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1390,Q1000212K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lighting stores (any) - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1391,Q1000212K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Lighting stores (any) - Once a month or more (^),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1392,Q1000213K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Department stores (any) - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1393,Q1000213K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Department stores (any) - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1394,Q1000213K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Department stores (any) - Once a month or more,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1395,Q1000214K1,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Independent hardware stores (any) - Once a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1396,Q1000214K2,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Independent hardware stores (any) - 2-11 times a year,Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1397,Q1000214K3,Frequency of Shopping [Pst Yr] - Home Improvement Stores - Independent hardware stores (any) - Once a month or more (^),Retailers - Home Improvement,Incidence,,[NBAS12HP],Double,8,5
1398,Q0400201K1,Frequency of Shopping [Pst Yr] - Stores - Amazon.com/Amazon.ca - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1399,Q0400201K2,Frequency of Shopping [Pst Yr] - Stores - Amazon.com/Amazon.ca - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1400,Q0400201K3,Frequency of Shopping [Pst Yr] - Stores - Amazon.com/Amazon.ca - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1401,Q0400202K1,Frequency of Shopping [Pst Yr] - Stores - Canadian Tire - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1402,Q0400202K2,Frequency of Shopping [Pst Yr] - Stores - Canadian Tire - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1403,Q0400202K3,Frequency of Shopping [Pst Yr] - Stores - Canadian Tire - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1404,Q0400203K1,Frequency of Shopping [Pst Yr] - Stores - Costco - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1405,Q0400203K2,Frequency of Shopping [Pst Yr] - Stores - Costco - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1406,Q0400203K3,Frequency of Shopping [Pst Yr] - Stores - Costco - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1407,Q0400204K1,Frequency of Shopping [Pst Yr] - Stores - Giant Tiger - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1408,Q0400204K2,Frequency of Shopping [Pst Yr] - Stores - Giant Tiger - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1409,Q0400204K3,Frequency of Shopping [Pst Yr] - Stores - Giant Tiger - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1410,Q0400205K1,Frequency of Shopping [Pst Yr] - Stores - Hudson's Bay - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1411,Q0400205K2,Frequency of Shopping [Pst Yr] - Stores - Hudson's Bay - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1412,Q0400205K3,Frequency of Shopping [Pst Yr] - Stores - Hudson's Bay - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1413,Q0400207K1,Frequency of Shopping [Pst Yr] - Stores - Walmart/Walmart Supercentres - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1414,Q0400207K2,Frequency of Shopping [Pst Yr] - Stores - Walmart/Walmart Supercentres - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1415,Q0400207K3,Frequency of Shopping [Pst Yr] - Stores - Walmart/Walmart Supercentres - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1416,Q0400209K1,Frequency of Shopping [Pst Yr] - Stores - Other department stores - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1417,Q0400209K2,Frequency of Shopping [Pst Yr] - Stores - Other department stores - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1418,Q0400209K3,Frequency of Shopping [Pst Yr] - Stores - Other department stores - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1419,Q040027C01,Frequency of Shopping [Pst Yr] - Stores - Well.ca - Once a year (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1420,Q040027C02,Frequency of Shopping [Pst Yr] - Stores - Well.ca - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1421,Q040027C03,Frequency of Shopping [Pst Yr] - Stores - Well.ca - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1422,Q0800201K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Ikea - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1423,Q0800201K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Ikea - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1424,Q0800201K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Ikea - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1425,Q0800202K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - La-Z-Boy Furniture Galleries - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1426,Q0800202K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - La-Z-Boy Furniture Galleries - 2-11 times a year (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1427,Q0800202K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - La-Z-Boy Furniture Galleries - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1428,Q0800203K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Leon's - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1429,Q0800203K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Leon's - 2-11 times a year (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1430,Q0800203K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Leon's - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1431,Q0800205K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Sleep Country/Dormez-Vous - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1432,Q0800205K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Sleep Country/Dormez-Vous - 2-11 times a year (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1433,Q0800205K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Sleep Country/Dormez-Vous - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1434,Q0800206K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Structube - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1435,Q0800206K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Structube - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1436,Q0800206K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Structube - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1437,Q0800207K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - The Brick - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1438,Q0800207K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - The Brick - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1439,Q0800207K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - The Brick/The Brick Outlet - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1440,Q0800209K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Urban Barn - Once a year (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1441,Q0800209K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Urban Barn - 2-11 times a year (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1442,Q0800209K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Urban Barn - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1443,Q0800214K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Wayfair.ca - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1444,Q0800214K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Wayfair.ca - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1445,Q0800214K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Wayfair.ca - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1446,Q0800210K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Department stores (any) - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1447,Q0800210K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Department stores (any) - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1448,Q0800210K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Department stores (any) - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1449,Q0800211K1,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Electronics stores (any) - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1450,Q0800211K2,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Electronics stores (any) - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1451,Q0800211K3,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Electronics stores (any) - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1452,Q0800212C01,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Online/Internet mattress stores (e.g. Endy) - Once a year (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1453,Q0800212C02,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Online/Internet mattress stores (e.g. Endy) - 2-11 times a year (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1454,Q0800212C03,Frequency of Shopping [Pst Yr] - Furniture/Appliance Stores - Online/Internet mattress stores (e.g. Endy) - Once a month or more (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1455,Q1900201K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Global Pet Foods - Once a year (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1456,Q1900201K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Global Pet Foods - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1457,Q1900201K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Global Pet Foods - Once a month or more (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1458,Q1900202K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Pet Valu - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1459,Q1900202K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Pet Valu - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1460,Q1900202K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Pet Valu - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1461,Q1900203K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - PetSmart - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1462,Q1900203K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - PetSmart - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1463,Q1900203K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - PetSmart - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1464,Q1900204K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Big box/warehouse stores - Once a year (!),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1465,Q1900204K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Big box/warehouse stores - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1466,Q1900204K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Big box/warehouse stores - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1467,Q1900205K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Department stores (any) - Once a year (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1468,Q1900205K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Department stores (any) - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1469,Q1900205K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Department stores (any) - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1470,Q1900206K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Grocery stores (any) - Once a year (^),Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1471,Q1900206K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Grocery stores (any) - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1472,Q1900206K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Grocery stores (any) - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1473,Q1900207K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Veterinarian office (any) - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1474,Q1900207K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Veterinarian office (any) - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1475,Q1900207K3,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Veterinarian office (any) - Once a month or more,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1476,Q1900209K1,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Other pet/pet supply stores - Once a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
1477,Q1900209K2,Frequency of Shopping [Pst Yr] - Pet Supply Stores - Other pet/pet supply stores - 2-11 times a year,Retailers - Household,Incidence,,[NBAS12HP],Double,8,5
